,param_num_leaves,param_n_estimators,param_min_data_in_leaf,mean_test_f1_deceased,rank_test_f1_deceased,mean_test_recall_deceased,mean_test_overall_accuracy,mean_test_overall_recall
0,60,100,60,0.192803259355946,15,0.15083333333333335,0.8422910369675608,0.6735200071866521
1,90,100,60,0.19729083785887366,13,0.1615,0.8452961514864125,0.6784769965924652
2,120,100,60,0.1908436173818537,16,0.169,0.841059752313908,0.6765966263440267
3,60,200,60,0.20570986089221185,8,0.16766666666666666,0.8482416426460816,0.6822768619199809
4,90,200,60,0.20362550603839202,9,0.17816666666666667,0.8460325113577397,0.6828192069447491
5,120,200,60,0.20658166462895322,5,0.18866666666666668,0.8443272190254684,0.6838220647312799
6,60,300,60,0.20203005993736944,10,0.18083333333333332,0.8435580549478306,0.6813999327232518
7,90,300,60,0.21105798155877178,3,0.19299999999999998,0.8452842071633874,0.6856099068338644
8,120,300,60,0.2181023665287877,1,0.2015,0.8457194714439176,0.687910291994832
9,60,100,80,0.19083169415933368,17,0.14716666666666667,0.8419511746478885,0.6725301838324568
10,90,100,80,0.19552501188511548,14,0.1595,0.8445448708969133,0.6773841746078592
11,120,100,80,0.1876884283596366,18,0.16433333333333333,0.8405052375820868,0.67510029635487
12,60,200,80,0.20577147585956454,7,0.16549999999999998,0.847949478293834,0.6815678838365761
13,90,200,80,0.1997217239408857,12,0.17883333333333332,0.8426100099138326,0.6801262207894605
14,120,200,80,0.20591950434254055,6,0.18683333333333332,0.84434510877959,0.6834148814279281
15,60,300,80,0.2020092794163931,11,0.17966666666666664,0.8436206605415224,0.6811965984577952
16,90,300,80,0.20912912560770944,4,0.1915,0.8447058413014217,0.6847811306257942
17,120,300,80,0.21415195478169527,2,0.19799999999999998,0.8455465588494849,0.6869176333730002
