param_num_leaves,param_n_estimators,param_min_data_in_leaf,mean_test_f1_deceased,rank_test_f1_deceased,mean_test_recall_deceased,mean_test_overall_accuracy,mean_test_overall_recall
60,100,60,0.7363063880720059,17,0.7745397238343007,0.7810332032552866,0.7810332032552866
90,100,60,0.7486348595457663,15,0.7931091988526449,0.7893006637315723,0.7893006637315724
120,100,60,0.7565278819567404,11,0.7977369755186445,0.794745597358415,0.794745597358415
60,200,60,0.7563633813260494,12,0.7964945634047095,0.7946684677473151,0.7946684677473149
90,200,60,0.7616912754486048,9,0.8043409378960709,0.7993108365019012,0.7993108365019012
120,200,60,0.764904714257821,5,0.8048162230671737,0.8025127576545928,0.8025127576545928
60,300,60,0.7617368035613721,8,0.8001884464011741,0.7993879661130011,0.7993879661130011
90,300,60,0.7667053242155748,3,0.8119955306517244,0.8037843539457007,0.8037843539457007
120,300,60,0.7691245723448915,1,0.811044960309519,0.8055187279034087,0.8055187279034087
60,100,80,0.7355398743642708,18,0.7700953905676738,0.7797261690347542,0.7797261690347542
90,100,80,0.7473957487825512,16,0.7911330131412181,0.7885752284704157,0.7885752284704156
120,100,80,0.7540942651656452,14,0.7933760256153692,0.7936782903075178,0.7936782903075178
60,200,80,0.755944882371847,13,0.7926339136815422,0.7941139683810285,0.7941139683810285
90,200,80,0.7604959515772823,10,0.8011473550797145,0.7989918951370822,0.7989918951370822
120,200,80,0.7641970013761273,6,0.8015392568874659,0.8017227002868387,0.8017227002868387
60,300,80,0.7618703920620984,7,0.8018310986591954,0.7990857014208524,0.7990857014208524
90,300,80,0.7663975828474173,4,0.8055583350010006,0.8031568941364818,0.8031568941364818
120,300,80,0.7680247159849761,2,0.8090187445800815,0.8048370689080114,0.8048370689080114
